X;Y;FECHA;CALLE;NUMERO;M2;DOLARES;U_S_M2;FOT;COTIZ;BARRIOS;COMUNA;DIRECCION_NORMALIZADA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
-34.56615521162033;-58.4980706415814;27/12/2016;ANDONAEGUI;3500;165;249000;1509,1;0; ;VILLA URQUIZA;COMUNA 12;ANDONAEGUI 3500;1431;C1431DWV
-34.570722917610325;-58.49440622081243; ;ANDONAEGUI;3100;168;285000;1696,4;1,6; ;VILLA URQUIZA;COMUNA 12;ANDONAEGUI 3100;1431;C1431DWN
-34.57726644107276;-58.48910668178996; ;ANDONAEGUI;2300;100;450000;4500;3,5; ;VILLA URQUIZA;COMUNA 12;ANDONAEGUI 2300;1431;C1431DVR
-34.58945946418864;-58.477636603378976; ;ANDONAEGUI;1100;157;295000;1879;3; ;PARQUE CHAS;COMUNA 15;ANDONAEGUI 1100;1427;C1427BED
 ; ;29/12/2016;ANTARTIDA ARGENTINA;100;7000;35000000;5000;5; ;RETIRO;COMUNA 1; ; ; 
-34.6061709425141;-58.446441451817364;22/12/2016;ANTEZANA;500;612;2500000;4085;0; ;VILLA CRESPO;COMUNA 15;ANTEZANA 500;1414;C1414EEJ
-34.59881517010645;-58.461383930996824; ;AÑASCO;2500;174;295000;1695,4;3; ;PATERNAL;COMUNA 15;AÑASCO 2500;1416;C1416CUH
-34.610223370966835;-58.43213509260882; ;ARANGUREN, JUAN F., DR.;100;281;600000;2135,2;0; ;CABALLITO;COMUNA 6;ARANGUREN, JUAN F., DR. 100;1405;C1405CRB
-34.61600350226113;-58.446055340118974; ;ARANGUREN, JUAN F., DR.;1000;767;950000;1238,6;3,5; ;CABALLITO;COMUNA 6;ARANGUREN, JUAN F., DR. 1000;1405;C1405CRT
-34.61882661032774;-58.45310364001549; ;ARANGUREN, JUAN F., DR.;1500;180;391000;2172,2;0; ;CABALLITO;COMUNA 6;ARANGUREN, JUAN F., DR. 1500;1405;C1405CSD
-34.62062878262161;-58.458335905178046; ;ARANGUREN, JUAN F., DR.;1900;329;600000;1823,7;3; ;FLORES;COMUNA 7;ARANGUREN, JUAN F., DR. 1900;1406;C1406FWH
-34.62062878262161;-58.458335905178046; ;ARANGUREN, JUAN F., DR.;1900;376;650000;1728,7;0; ;FLORES;COMUNA 7;ARANGUREN, JUAN F., DR. 1900;1406;C1406FWH
-34.62062878262161;-58.458335905178046; ;ARANGUREN, JUAN F., DR.;1900;390;570000;1461,5;3; ;FLORES;COMUNA 7;ARANGUREN, JUAN F., DR. 1900;1406;C1406FWH
-34.62259463971019;-58.46365384364442; ;ARANGUREN, JUAN F., DR.;2300;299;410000;1371,2;3,5; ;FLORES;COMUNA 7;ARANGUREN, JUAN F., DR. 2300;1406;C1406FWP
-34.62348347967027;-58.46651465745817; ;ARANGUREN, JUAN F., DR.;2500;447;600000;1342,3;0; ;FLORES;COMUNA 7;ARANGUREN, JUAN F., DR. 2500;1406;C1406FWT
-34.62797289733266;-58.482741194893045; ;ARANGUREN, JUAN F., DR.;3800;225;500000;2222,2;2,8; ;FLORESTA;COMUNA 10;ARANGUREN, JUAN F., DR. 3800;1407;C1407ELJ
-34.63150801816797;-58.49221271325342; ;ARANGUREN, JUAN F., DR.;4600;227;280000;1233,5;0; ;VELEZ SARSFIELD;COMUNA 10;ARANGUREN, JUAN F., DR. 4600;1407;C1407ELZ
-34.631756432296996;-58.49305580215124;03/01/2017;ARANGUREN, JUAN F., DR.;4700;398;325000;816,6;0; ;VELEZ SARSFIELD;COMUNA 10;ARANGUREN, JUAN F., DR. 4700;1407;C1407EMB
-34.631756432296996;-58.49305580215124; ;ARANGUREN, JUAN F., DR.;4700;227;259000;1141;0; ;VELEZ SARSFIELD;COMUNA 10;ARANGUREN, JUAN F., DR. 4700;1407;C1407EMB
-34.632484376084406;-58.49580117913641; ;ARANGUREN, JUAN F., DR.;4900;251;285000;1135,5;0; ;VELEZ SARSFIELD;COMUNA 10;ARANGUREN, JUAN F., DR. 4900;1407;C1407EMF
-34.59235351955384;-58.42554054992456;28/12/2016;ARAOZ;1470;350;950000;2714,3;1,6; ;PALERMO;COMUNA 14;ARAOZ 1470;1414;C1414DQD
-34.592805812891456;-58.42621135162212; ;ARAOZ;1400;200;520000;2600;1,6; ;PALERMO;COMUNA 14;ARAOZ 1400;1414;C1414DQB
-34.5956149775757;-58.430250150965286;03/01/2017;ARAOZ;1019;191;400000;2094,2;1,6; ;VILLA CRESPO;COMUNA 15;ARAOZ 1019;1414;C1414DPU
-34.59783365351127;-58.43390572051222;03/01/2017;ARAOZ;700;434;1180000;2718,9;0; ;VILLA CRESPO;COMUNA 15;ARAOZ 700;1414;C1414DPN
-34.615533203856074;-58.43625240846812; ;ARAOZ ALFARO, GREGORIO, DR;400;147;340000;2312,9;4; ;CABALLITO;COMUNA 6;ARAOZ ALFARO, GREGORIO, DR 400;1405;C1405CID
-34.643311155814274;-58.37771811693017;22/12/2016;ARAOZ DE LAMADRID, GREGORIO, GRAL.;1900;180;150000;833,3;0; ;BARRACAS;COMUNA 4;ARAOZ DE LAMADRID, GREGORIO, GRAL. 1900;1267;C1267AAL
-34.648873795542826;-58.495074916855444; ;ARAUJO;1200;154;150000;974;1,2; ;MATADEROS;COMUNA 9;ARAUJO 1200;1440;C1440DLN
-34.54597757670895;-58.46633319198152; ;ARCOS;3800;230;460000;2000;0; ;NUÑEZ;COMUNA 13;ARCOS 3800;1429;C1429AZT
-34.56329176576042;-58.45138740639225;22/12/2016;ARCOS;1800;421;2200000;5225,7;0; ;BELGRANO;COMUNA 13;ARCOS 1800;1426;C1426BGN
-34.58373964500169;-58.446330800012646; ;ARENAL, CONCEPCION;3500;412;690000;1674,8;0; ;CHACARITA;COMUNA 15;ARENAL, CONCEPCION 3500;1427;C1427EKB
-34.59387331075208;-58.45317687736539; ;ARENAL, CONCEPCION;4500;240;330000;1375;2; ;CHACARITA;COMUNA 15;ARENAL, CONCEPCION 4500;1427;C1427EKV
-34.595557393043315;-58.45507457382894;26/12/2016;ARENAL, CONCEPCION;4700;200;110000;550;0; ;CHACARITA;COMUNA 15;ARENAL, CONCEPCION 4700;1427;C1427EKZ
 ; ;28/12/2016;AREVALO;1300;145;590000;4069;3,5; ;PALERMO;COMUNA 14; ; ; 
 ; ;28/12/2016;AREVALO;1300;156;890000;5705,1;0; ;PALERMO;COMUNA 14; ; ; 
-34.576276344456076;-58.43515307934823;28/12/2016;AREVALO;2300;187;560000;2994,7;0; ;PALERMO;COMUNA 14;AREVALO 2300;1425;C1425FZD
-34.59695218051631;-58.42748841777422;03/01/2017;ARGAÑARAS;85;318;450000;1415,1;0; ;VILLA CRESPO;COMUNA 15;ARGAÑARAS 85;1414;C1414BCA
-34.60235561472315;-58.49070562169528;27/12/2016;ARGERICH;3000;144;460000;3194,4;0; ;VILLA DEL PARQUE;COMUNA 11;ARGERICH 3000;1417;C1417CSL
-34.60325491459775;-58.48996437942606; ;ARGERICH;2900;278;320000;1151,1;1; ;VILLA DEL PARQUE;COMUNA 11;ARGERICH 2900;1417;C1417CSJ
-34.61419627081616;-58.48108854516078;27/12/2016;ARGERICH;1800;440;385000;875;3,5; ;VILLA SANTA RITA;COMUNA 11;ARGERICH 1800;1416;C1416AXN
-34.61822298466871;-58.47788709276742; ;ARGERICH;1400;292;470000;1609,6;3,5; ;VILLA SANTA RITA;COMUNA 11;ARGERICH 1400;1416;C1416AXF
-34.62024075934955;-58.47628291869772;27/12/2016;ARGERICH;1200;450;650000;1444,4;3; ;VILLA SANTA RITA;COMUNA 11;ARGERICH 1200;1416;C1416AXB
-34.62996667108266;-58.471768422506024; ;ARGERICH;100;267;549000;2056,2;5; ;FLORES;COMUNA 7;ARGERICH 100;1406;C1406ALB
