id,long,lat,banco,red,ubicacion,localidad,terminales,no_vidente,dolares,calle,altura,calle2,barrio,comuna,codigo_postal,codigo_postal_argentino
40906,-58.4583667816048,-34.6037606748604,Banco Galicia,BANELCO,PAYSANDÚ 1842,CABA,1,False,False,PAYSANDU,1842,,Paternal,Comuna 15,1416,C1416CDP
40166,-58.4590534912343,-34.6043343769484,Banco Santander Río,BANELCO,PAYSANDU Y SAN MARTIN AV.,CABA,3,False,False,PAYSANDU,0,SAN MARTIN AV.,Paternal,Comuna 15,,
40754,-58.4925748886336,-34.5466107975779,Banco Galicia,BANELCO,"PAZ, GRAL. AV. Y ACCESO NORTE - PANAMERICANA",CABA,3,False,False,"PAZ, GRAL. AV.",0,ACCESO NORTE - PANAMERICANA,Saavedra,Comuna 12,,
40878,-58.51407274351,-34.6642791737779,Banco Galicia,BANELCO,"PAZ, GRAL. AV. Y TAPALQUE",CABA,1,False,False,"PAZ, GRAL. AV.",0,TAPALQUE,Mataderos,Comuna 9,,
40801,-58.3809000791141,-34.6018958039345,Banco Galicia,BANELCO,"PELLEGRINI, CARLOS Y TUCUMAN",CABA,1,False,False,"PELLEGRINI, CARLOS",0,TUCUMAN,San Nicolas,Comuna 1,,
41351,-58.3808984772758,-34.6016475982815,ICBC,BANELCO,"PELLEGRINI, CARLOS Y TUCUMAN",CABA,1,False,False,"PELLEGRINI, CARLOS",0,TUCUMAN,San Nicolas,Comuna 1,,
40998,-58.4719172764269,-34.6380851836324,Banco Galicia,BANELCO,PERGAMINO Y TANDIL,CABA,1,False,False,PERGAMINO,0,TANDIL,Parque Avellaneda,Comuna 9,,
41172,-58.4768012123196,-34.6561023709655,HSBC Bank Argentina,BANELCO,"PERON, EVA AV. Y DUMAS, ALEJANDRO",CABA,1,False,False,"PERON, EVA AV.",0,"DUMAS, ALEJANDRO",Parque Avellaneda,Comuna 9,,
40772,-58.4675801519472,-34.6461933900853,Banco Galicia,BANELCO,"PERON, EVA AV. Y EL TALA",CABA,3,False,False,"PERON, EVA AV.",0,EL TALA,Parque Avellaneda,Comuna 9,,
40314,-58.484421872446,-34.661460555795,Banco Santander Río,BANELCO,"PERON, EVA AV. Y MIRALLA",CABA,1,False,False,"PERON, EVA AV.",0,MIRALLA,Mataderos,Comuna 9,,
40237,-58.4654273531759,-34.6450862754009,Banco Santander Río,BANELCO,"PERON, EVA AV. Y PORTELA",CABA,1,False,False,"PERON, EVA AV.",0,PORTELA,Parque Avellaneda,Comuna 9,,
