#X;Y;FECHA;CALLE;NUMERO;M2;DOLARES;U_S_M2;FOT;COTIZ;BARRIOS;COMUNA;DIRECCION_NORMALIZADA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
-58.469408752667164;-34.60671987220805;08/06/2017;CAMARONES;2000;291;350000;1202,7;3;17,5;VILLA GRAL. MITRE;COMUNA 11;CAMARONES 2000;1416;C1416ECL
-58.47925385540672;-34.61173606693871;05/06/2017;CAMARONES;2800;466;650000;1394,8;3,4;17,5;VILLA SANTA RITA;COMUNA 11;CAMARONES 2800;1416;C1416EDB
-58.48176756386999;-34.61306007716961;05/06/2017;CAMARONES;3000;178;285000;1601,1;3,4;17,5;VILLA SANTA RITA;COMUNA 11;CAMARONES 3000;1416;C1416EDF
-58.51422906642971;-34.605042485050404;06/06/2017;CANTILO, JOSE LUIS;4400;1100;1590000;1445,5;0;17,5;VILLA DEVOTO;COMUNA 11;CANTILO, JOSE LUIS 4400;1419;C1419HOF
-58.48598002583784;-34.60858560157583;05/06/2017;CARRANZA, ADOLFO P.;3025;280;495000;1767,9;3,5;17,5;VILLA DEL PARQUE;COMUNA 11;CARRANZA, ADOLFO P. 3025;1417;C1417HFO
-58.52188043189896;-34.605347908118894;06/06/2017;CARRIL, SALVADOR MARIA DEL AV.;4800;350;470000;1342,9;0;17,5;VILLA DEVOTO;COMUNA 11;CARRIL, SALVADOR MARIA DEL AV. 4800;1419;C1419HBP
-58.52188043189896;-34.605347908118894;15/06/2017;CARRIL, SALVADOR MARIA DEL AV.;4800;350;480000;1371,4;0;17,5;VILLA DEVOTO;COMUNA 11;CARRIL, SALVADOR MARIA DEL AV. 4800;1419;C1419HBP
-58.523074048857914;-34.60618402892547;06/06/2017;CARRIL, SALVADOR MARIA DEL AV.;4900;267;300000;1123,6;0;17,5;VILLA DEVOTO;COMUNA 11;CARRIL, SALVADOR MARIA DEL AV. 4900;1419;C1419HBQ
-58.50510177917173;-34.60744713520187;06/06/2017;CHIVILCOY;2900;216;330000;1527,8;0;17,5;VILLA DEVOTO;COMUNA 11;CHIVILCOY 2900;1417;C1417ATR
-58.507589445410076;-34.60474302124614;15/06/2017;CHIVILCOY AV.;3200;375;630000;1680;0;17,5;VILLA DEVOTO;COMUNA 11;CHIVILCOY AV. 3200;1417;C1417ATX
-58.51707846867548;-34.59421211538947;15/06/2017;CHIVILCOY AV.;4800;155;235000;1516,1;1,2;17,5;VILLA DEVOTO;COMUNA 11;CHIVILCOY AV. 4800;1419;C1419BEF
